exchange,uptake,comment
EX_OXYGEN_MOLECULE_e,1000,
EX_AMMONIUM_e,1000,
EX_SULFATE_e,1000,
EX_Pi_e,1000,
EX_FORMATE_e,20,
EX_FE2_e,1000,
