,gene,essential,comment
1181,H16_B0404,no,
1182,H16_B0411,no,
1183,H16_B0424,no,
1184,H16_B0432,no,
1185,H16_B0447,no,
1186,H16_B0451,no,
1187,H16_B0464,no,
1188,H16_B0494,no,
1189,H16_B0522,no,
1190,H16_B0526,no,
1191,H16_B0529,no,
1192,H16_B0558,no,
1193,H16_B0571,no,
1194,H16_B0602,no,
1195,H16_B0609,no,
1196,H16_B0616,no,
1197,H16_B0620,no,
1198,H16_B0642,no,
1199,H16_B0644,no,
1200,H16_B0648,no,
1201,H16_B0649,no,
1202,H16_B0673,no,
1203,H16_B0682,no,
1204,H16_B0688,no,
1205,H16_B0707,no,
1206,H16_B0714,no,
1207,H16_B0736,no,
1208,H16_B0739,no,
1209,H16_B0743,no,
1210,H16_B0744,no,
1211,H16_B0746,no,
1212,H16_B0753,no,
1213,H16_B0764,no,
1214,H16_B0802,no,
1215,H16_B0812,no,
1216,H16_B0813,no,
1217,H16_B0820,no,
1218,H16_B0836,no,
1219,H16_B0860,no,
1220,H16_B0883,no,
1221,H16_B0907,no,
1222,H16_B0946,no,
1223,H16_B0974,no,
1224,H16_B0987,no,
1225,H16_B0990,no,
1226,H16_B1017,no,
1227,H16_B1025,no,
1228,H16_B1026,no,
1229,H16_B1027,no,
1230,H16_B1075,no,
1231,H16_B1110,no,
1232,H16_B1122,no,
1233,H16_B1142,no,
1234,H16_B1155,no,
1235,H16_B1170,no,
1236,H16_B1176,no,
1237,H16_B1177,no,
1238,H16_B1189,no,
1239,H16_B1236,no,
1240,H16_B1239,no,
1241,H16_B1359,no,
1242,H16_B1363,no,
1243,H16_B1368,no,
1244,H16_B1372,no,
1245,H16_B1398,no,
1246,H16_B1412,no,
1247,H16_B1449,no,
1248,H16_B1462,no,
1249,H16_B1515,no,
1250,H16_B1522,no,
1251,H16_B1560,no,
1252,H16_B1606,no,
1253,H16_B1629,no,
1254,H16_B1664,no,
1255,H16_B1667,no,
1256,H16_B1669,no,
1257,H16_B1711,no,
1258,H16_B1712,no,
1259,H16_B1716,no,
1260,H16_B1717,no,
1261,H16_B1736,no,
1262,H16_B1740,no,
1263,H16_B1748,no,
1264,H16_B1749,no,
1265,H16_B1756,no,
1266,H16_B1765,no,
1267,H16_B1812,no,
1268,H16_B1818,no,
1269,H16_B1840,no,
1270,H16_B1863,no,
1271,H16_B1865,no,
1272,H16_B1879,no,
1273,H16_B1904,no,
1274,H16_B1917,no,
1275,H16_B1948,no,
1276,H16_B1953,no,
1277,H16_B2003,no,
1278,H16_B2058,no,
1279,H16_B2059,no,
1280,H16_B2060,no,
1281,H16_B2061,no,
1282,H16_B2062,no,
1283,H16_B2114,no,
1284,H16_B2159,no,
1285,H16_B2160,no,
1286,H16_B2161,no,
1287,H16_B2164,no,
1288,H16_B2206,no,
1289,H16_B2210,no,
1290,H16_B2222,no,
1291,H16_B2228,no,
1292,H16_B2271,no,
1293,H16_B2307,no,
1294,H16_B2317,no,
1295,H16_B2376,no,
1296,H16_B2440,no,
1297,H16_B2471,no,
1298,H16_B2480,no,
1299,H16_B2482,no,
1300,H16_B2493,no,
1301,H16_B2496,no,
1302,H16_B2498,no,
1303,H16_B2514,no,
1304,H16_B2532,no,
1305,PHG001,no,
1306,PHG002,no,
1307,PHG003,no,
1308,PHG074,no,
1309,PHG088,no,
1310,PHG089,no,
1311,PHG090,no,
1312,PHG091,no,
1313,PHG120,no,
1314,PHG121,no,
1315,PHG178,no,
1316,PHG211,no,
1317,PHG212,no,
1318,PHG213,no,
1319,PHG229,no,
1320,PHG232,no,
1321,PHG240,no,
1322,PHG244,no,
1323,PHG261,no,
1324,PHG270,no,
1325,PHG271,no,
1326,PHG273,no,
1327,PHG279,no,
1328,PHG384,no,
1329,PHG385,no,
1330,PHG394,no,
1331,PHG398,no,
1332,PHG399,no,
1333,PHG404,no,
1334,PHG405,no,
